Species,Foraged
Tapirira_myriantha,1
Tapirira_myriantha,0
Casearia_sylvestris,0
Neea_sp,0
Lecythis_ampla,0
Lecythis_ampla,0
Clarisia_mexicana,0
Iriartea_deltoidea,1
Coussarea_hondensis,0
Coussarea_sp,1
Cordia_eriostigma,0
Casearia_arborea,0
Ardisia_auriculata,0
Warscewiczia_coccinea,0
Simira_maxonii,0
Ixora_nicaraguensis,0
Cupania_cinerea,0
Trophis_racemosa,1
Naucleopsis_naga,0
Brosimum_alicastrum,0
Faramea_parvibractea,0
Pouteria_sp,0
Welfia_regia,0
Cassipourea_elliptica,0
Terminalia_amazonia,0
Clarisia_mexicana,0
Pentagonia_donnell-smithii,0
Pentagonia_donnell-smithii,0
Prioria_copaifera,0
Prioria_copaifera,0
Theobroma_mammosum,0
Guarea_bullata,0
Guarea_rhopalocarpa,0
Ixora_nicaraguensis,0
Socratea_exorrhiza,0
Ocotea_mollifolia,0
Desmopsis_microcarpa,0
Pradosia_atroviolacea,0
Pentaclethra_macroloba,0
Pouteria_torta,0
Psychotria_sp,0
Lonchocarpus_oliganthus,0
Posoqueria_latifolia,0
Lonchocarpus_oliganthus,0
Neea_sp,0
Posoqueria_latifolia,0
Coussarea_hondensis,0
Aspidosperma_spruceanum,0
Tabernaemontana_arborea,0
Otoba_novogranatensis,0
Potalia_amara,0
Tapirira_myriantha,0
Casearia_commersoniana,0
Xylosma_chlorantha,0
Dinizia_excelsa,0
Cojoba_catenata,0
Inga_pavoniana,0
Inga_alba,0
Inga_leiocalycina,0
Inga_cocleensis,0
Trophis_racemosa,0
Croton_schiedeanus,0
Trophis_racemosa,0
Ormosia_tenuivalvis,1
Quararibea_pumila,0
Bursera_simaruba,0
Dipteryx_panamensis,0
Theobroma_mammosum,0
Welfia_regia,0
Apeiba_membranacea,0
NA,0
Psychotria_chagrensis,0
Warscewiczia_coccinea,0
Neea_amplifolia,0
Goethalsia_meiantha,0
Colubrina_spinosa,0
Chimarrhis_parviflora,0
Chrysophyllum_venezuelanense,0
Protium_glabrum,0
Laetia_procera,0
Casearia_arborea,1
Cordia_dwyeri,0
Pentaclethra_macroloba,0
Lonchocarpus_pentaphyllus,0
Pentaclethra_macroloba,0
Pentaclethra_macroloba,0
Pentaclethra_macroloba,0
Dussia_macroprophyllata,0
Ocotea_hartshorniana,1
Ocotea_hartshorniana,1
Ocotea_hartshorniana,0
Ardisia_granatensis,0
Inga_alba,1
Inga_tonduzii,0
Clarisia_mexicana,1
Posoqueria_grandiflora,0
Inga_ruiziana,0
Zigia_gigantifoliola,0
Balizia_elegans,0
Zigia_gigantifoliola,0
Socratea_exorrhiza,0
Simira_maxonii,0
Inga_sp,0
Inga_pavoniana,0
Inga_pavoniana,0
Spondias_mombin,0
Guarea_rhopalocarpa,0
Hernandia_didymantha,0
Hernandia_didymantha,0
Inga_ruiziana,0
Inga_ruiziana,0
Lonchocarpus_oliganthus,0
Colubrina_spinosa,0
Colubrina_spinosa,0
Colubrina_spinosa,0
Dendropanax_stenodontus,0
Dendropanax_stenodontus,0
Spondias_mombin,0
Spondias_mombin,0
Lonchocarpus_oliganthus,0
Lonchocarpus_oliganthus,0
Casearia_corymbosa,0
Casearia_corymbosa,0
Cordia_dwyeri,0
Cordia_dwyeri,0
Inga_alba,0
Inga_alba,0
Inga_paterno,0
Inga_tonduzii,0
Inga_tonduzii,0
Inga_sp,0
Inga_thibaudiana,1
Inga_tonduzii,0
Compsoneura_sprucei,0
Socratea_exorrhiza,0
Virola_sebifera,0
Rhodostemonodaphne_kunthiana,0
Neea_amplifolia,0
Pentaclethra_macroloba,0
Pentaclethra_macroloba,1
Tabebuia_guayacan,1
NA,0
Jacaratia_dolichaula,0
Alchorneopsis_floribunda,0
Sorocea_pubivena,0
Pourouma_bicolor,0
Clarisia_mexicana,0
Hampea_appendiculata,0
Hamelia_patens,0
Lonchocarpus_pentaphyllus,0
Lonchocarpus_oliganthus,1
Cordia_alliodora,0
Castilla_elastica,0
Hamelia_patens,0
Cordia_alliodora,0
Casearia_corymbosa,0
Trophis_racemosa,0
Pentagonia_donnell-smithii,0
Colubrina_spinosa,0
Dichapetalum_stipulatum,0
Dichapetalum_stipulatum,0
Dichapetalum_stipulatum,0
Pentagonia_donnell-smithii,0
Pentagonia_donnell-smithii,0
Macrolobium_costaricense,0
Pouteria_torta,0
Pouteria_torta,0
Jacaranda_copaia,0
Tabebuia_guayacan,0
Paullinia_pinnata,0
Colubrina_spinosa,0
Terminalia_amazonia,1
Virola_koschnyi,0
Vochysia_guatemalensis,0
Maranthes_panamensis,0
Inga_pavoniana,0
Erythrina_cochleata,0
Hampea_appendiculata,0
Hamelia_xerocarpa,0
Psychotria_panamensis,0
Erythrina_cochleata,0
Cryosophila_warscewiczii,0
Pentaclethra_macroloba,0
Symphonia_globulifera,0
Clarisia_mexicana,0
Maquira_costaricana,0
Ocotea_hartshorniana,0
Ocotea_atirrensis,0
Otoba_novogranatensis,0
Miconia_dorsiloba,0
Goethalsia_meiantha,0
Pentagonia_donnell-smithii,0
Meliosma_donnell-smithii,0
Ocotea_dendrodaphne,0
Goethalsia_meiantha,0
Inga_leiocalycina,0
Cymbopetalum_torulosum,0
Dipteryx_panamensis,0
Pouteria_glomerulata,0
Jacaratia_dolichaula,0
Posoqueria_grandiflora,0
Dipteryx_panamensis,0
Croton_schiedeanus,0
Guarea_sp,0
Virola_sebifera,0
Cestrum_megalophyllum,0
Goethalsia_meiantha,1
Otoba_novogranatensis,0
Virola_koschnyi,0
Miconia_multispicata,0
Sorocea_pubivena,0
Simarouba_amara,0
Goethalsia_meiantha,0
Siparuna_pauciflora,0
Inga_leiocalycina,0
Virola_sebifera,0
Goethalsia_meiantha,0
Perebea_angustifolia,0
Alchornea_costaricensis,0
Goethalsia_meiantha,0
Psychothria_graciliflora,0
Casearia_commersoniana,0
Virola_sebifera,0
Cassipourea_elliptica,0
Miconia_appendiculata,0
Goethalsia_meiantha,0
Ficus_maxima,0
Inga_pavoniana,0
Jacaratia_dolichaula,0
Heisteria_concinna,0
Goethalsia_meiantha,0
Sapium_glandulosum,0
Siparuna_pauciflora,0
Ocotea_hartshorniana,0
Pourouma_bicolor,0
Ficus_tonduzii,0
Sorocea_pubivena,0
Lacistema_aggregatum,0
Virola_sebifera,0
Goethalsia_meiantha,0
Tapirira_myriantha,0
Goethalsia_meiantha,0
Tovomitopsis_nicaraguensis,0
Goethalsia_meiantha,0
